Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	264.276
    0.01	218.903
   0.015	181.958
    0.02	151.875
   0.025	127.381
    0.03	107.437
   0.035	91.1973
    0.04	77.9751
   0.045	67.2096
    0.05	58.4447
   0.055	51.3089
    0.06	45.5
   0.065	40.7718
    0.07	36.9239
   0.075	33.7934
    0.08	31.2475
   0.085	29.1785
    0.09	27.4986
   0.095	26.1366
     0.1	25.0348
   0.105	24.1466
    0.11	23.4344
   0.115	22.8678
    0.12	22.423
   0.125	22.0811
    0.13	21.8275
   0.135	21.6516
    0.14	21.5458
   0.145	21.5057
    0.15	21.5296
   0.155	21.6185
    0.16	21.7761
   0.165	22.0091
    0.17	22.3274
   0.175	22.7445
    0.18	23.278
   0.185	23.9504
    0.19	24.7904
   0.195	25.8335
     0.2	27.1238
   0.205	28.7161
    0.21	30.6777
   0.215	33.0919
    0.22	36.0608
   0.225	39.7104
    0.23	44.1951
   0.235	49.7051
    0.24	56.4738
   0.245	64.788
    0.25	75
