Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	277.181
    0.01	240.471
   0.015	208.998
    0.02	182.017
   0.025	158.886
    0.03	139.056
   0.035	122.057
    0.04	107.486
   0.045	94.9974
    0.05	84.294
   0.055	75.1224
    0.06	67.2649
   0.065	60.5353
    0.07	54.7738
   0.075	49.8439
    0.08	45.6285
   0.085	42.0278
    0.09	38.9563
   0.095	36.3411
     0.1	34.1201
   0.105	32.2407
    0.11	30.658
   0.115	29.3347
    0.12	28.239
   0.125	27.345
    0.13	26.6313
   0.135	26.0809
    0.14	25.6804
   0.145	25.4203
    0.15	25.2942
   0.155	25.2988
    0.16	25.4342
   0.165	25.7033
    0.17	26.1122
   0.175	26.6704
    0.18	27.391
   0.185	28.2907
    0.19	29.3907
   0.195	30.7169
     0.2	32.3003
   0.205	34.1785
    0.21	36.3956
   0.215	39.004
    0.22	42.0655
   0.225	45.6524
    0.23	49.8496
   0.235	54.7566
    0.24	60.4896
   0.245	67.1845
    0.25	75
