Solucao analitica
Posicao(m)	Temperatura
       0	320
   0.005	201.193
    0.01	129.436
   0.015	86.097
    0.02	59.9211
   0.025	44.1114
    0.03	34.5627
   0.035	28.7956
    0.04	25.3123
   0.045	23.2085
    0.05	21.9379
   0.055	21.1704
    0.06	20.7069
   0.065	20.427
    0.07	20.2579
   0.075	20.1558
    0.08	20.0941
   0.085	20.0568
    0.09	20.0343
   0.095	20.0207
     0.1	20.0125
   0.105	20.0076
    0.11	20.0046
   0.115	20.0028
    0.12	20.0018
   0.125	20.0012
    0.13	20.0009
   0.135	20.0009
    0.14	20.0011
   0.145	20.0015
    0.15	20.0024
   0.155	20.0038
    0.16	20.0063
   0.165	20.0104
    0.17	20.0173
   0.175	20.0286
    0.18	20.0473
   0.185	20.0783
    0.19	20.1296
   0.195	20.2146
     0.2	20.3553
   0.205	20.5882
    0.21	20.9739
   0.215	21.6125
    0.22	22.6698
   0.225	24.4204
    0.23	27.3189
   0.235	32.1178
    0.24	40.0633
   0.245	53.2187
    0.25	75
