Solucao analitica
Posicao(m)	Temperatura
       0	320
   0.005	262.522
    0.01	216.057
   0.015	178.494
    0.02	148.128
   0.025	123.581
    0.03	103.737
   0.035	87.6953
    0.04	74.7277
   0.045	64.2453
    0.05	55.7719
   0.055	48.923
    0.06	43.3873
   0.065	38.9137
    0.07	35.2989
   0.075	32.3789
    0.08	30.0209
   0.085	28.118
    0.09	26.5837
   0.095	25.3484
     0.1	24.356
   0.105	23.5613
    0.11	22.9284
   0.115	22.4284
    0.12	22.0387
   0.125	21.7416
    0.13	21.5235
   0.135	21.3747
    0.14	21.2882
   0.145	21.2603
    0.15	21.2896
   0.155	21.3774
    0.16	21.5278
   0.165	21.7475
    0.17	22.0467
   0.175	22.4387
    0.18	22.9415
   0.185	23.5779
    0.19	24.3767
   0.195	25.3743
     0.2	26.6159
   0.205	28.1579
    0.21	30.0704
   0.215	32.4402
    0.22	35.3748
   0.225	39.0076
    0.23	43.5036
   0.235	49.0667
    0.24	55.9498
   0.245	64.4654
    0.25	75
