Solucao analitica
Posicao(m)	Temperatura
       0	320
   0.005	277.161
    0.01	240.441
   0.015	208.968
    0.02	181.991
   0.025	158.869
    0.03	139.052
   0.035	122.068
    0.04	107.513
   0.045	95.0403
    0.05	84.3535
   0.055	75.1981
    0.06	67.3562
   0.065	60.6412
    0.07	54.8934
   0.075	49.976
    0.08	45.7719
   0.085	42.1811
    0.09	39.1181
   0.095	36.5101
     0.1	34.295
   0.105	32.4201
    0.11	30.8407
   0.115	29.5193
    0.12	28.4245
   0.125	27.5301
    0.13	26.8149
   0.135	26.2619
    0.14	25.8579
   0.145	25.5933
    0.15	25.4618
   0.155	25.4603
    0.16	25.5887
   0.165	25.8501
    0.17	26.2508
   0.175	26.8002
    0.18	27.5114
   0.185	28.4013
    0.19	29.4912
   0.195	30.8069
     0.2	32.3799
   0.205	34.2474
    0.21	36.4539
   0.215	39.0521
    0.22	42.1036
   0.225	45.6811
    0.23	49.8697
   0.235	54.7692
    0.24	60.496
   0.245	67.1866
    0.25	75
