Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	221.373
    0.01	155.17
   0.015	110.732
    0.02	80.9031
   0.025	60.8807
    0.03	47.4409
   0.035	38.4195
    0.04	32.3639
   0.045	28.2992
    0.05	25.5708
   0.055	23.7393
    0.06	22.51
   0.065	21.6848
    0.07	21.1309
   0.075	20.7592
    0.08	20.5096
   0.085	20.3421
    0.09	20.2297
   0.095	20.1543
     0.1	20.1038
   0.105	20.07
    0.11	20.0474
   0.115	20.0324
    0.12	20.0227
   0.125	20.0167
    0.13	20.0133
   0.135	20.0121
    0.14	20.0128
   0.145	20.0156
    0.15	20.0209
   0.155	20.0295
    0.16	20.0429
   0.165	20.0633
    0.17	20.0938
   0.175	20.1394
    0.18	20.2075
   0.185	20.309
    0.19	20.4602
   0.195	20.6856
     0.2	21.0213
   0.205	21.5215
    0.21	22.2667
   0.215	23.3769
    0.22	25.0308
   0.225	27.4948
    0.23	31.1656
   0.235	36.6342
    0.24	44.7812
   0.245	56.9183
    0.25	75
