Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	202.137
    0.01	130.579
   0.015	87.135
    0.02	60.7592
   0.025	44.7458
    0.03	35.0237
   0.035	29.1212
    0.04	25.5377
   0.045	23.3621
    0.05	22.0412
   0.055	21.2392
    0.06	20.7524
   0.065	20.4568
    0.07	20.2773
   0.075	20.1684
    0.08	20.1022
   0.085	20.0621
    0.09	20.0377
   0.095	20.0229
     0.1	20.0139
   0.105	20.0085
    0.11	20.0052
   0.115	20.0032
    0.12	20.002
   0.125	20.0013
    0.13	20.001
   0.135	20.001
    0.14	20.0012
   0.145	20.0017
    0.15	20.0026
   0.155	20.0042
    0.16	20.0069
   0.165	20.0114
    0.17	20.0187
   0.175	20.0309
    0.18	20.0508
   0.185	20.0837
    0.19	20.1379
   0.195	20.2272
     0.2	20.3742
   0.205	20.6164
    0.21	21.0152
   0.215	21.6722
    0.22	22.7543
   0.225	24.5367
    0.23	27.4725
   0.235	32.3081
    0.24	40.2728
   0.245	53.3917
    0.25	75
