Solucao analitica
Posicao(m)	Temperatura
       0	320
   0.005	167.921
    0.01	92.935
   0.015	55.962
    0.02	37.7317
   0.025	28.743
    0.03	24.3109
   0.035	22.1256
    0.04	21.048
   0.045	20.5168
    0.05	20.2548
   0.055	20.1256
    0.06	20.0619
   0.065	20.0305
    0.07	20.0151
   0.075	20.0074
    0.08	20.0037
   0.085	20.0018
    0.09	20.0009
   0.095	20.0004
     0.1	20.0002
   0.105	20.0001
    0.11	20.0001
   0.115	20
    0.12	20
   0.125	20
    0.13	20
   0.135	20
    0.14	20
   0.145	20
    0.15	20
   0.155	20.0001
    0.16	20.0002
   0.165	20.0003
    0.17	20.0007
   0.175	20.0014
    0.18	20.0028
   0.185	20.0056
    0.19	20.0114
   0.195	20.023
     0.2	20.0467
   0.205	20.0947
    0.21	20.1921
   0.215	20.3897
    0.22	20.7903
   0.225	21.6029
    0.23	23.2508
   0.235	26.593
    0.24	33.3714
   0.245	47.1188
    0.25	75
