Perfil de Temperatura
Posicao(m)	Temperatura
       0	320
   0.005	170
    0.01	95
   0.015	57.5
    0.02	38.75
   0.025	29.375
    0.03	24.6875
   0.035	22.3437
    0.04	21.1719
   0.045	20.5859
    0.05	20.293
   0.055	20.1465
    0.06	20.0732
   0.065	20.0366
    0.07	20.0183
   0.075	20.0092
    0.08	20.0046
   0.085	20.0023
    0.09	20.0011
   0.095	20.0006
     0.1	20.0003
   0.105	20.0001
    0.11	20.0001
   0.115	20
    0.12	20
   0.125	20
    0.13	20
   0.135	20
    0.14	20
   0.145	20
    0.15	20.0001
   0.155	20.0001
    0.16	20.0002
   0.165	20.0004
    0.17	20.0008
   0.175	20.0017
    0.18	20.0034
   0.185	20.0067
    0.19	20.0134
   0.195	20.0269
     0.2	20.0537
   0.205	20.1074
    0.21	20.2148
   0.215	20.4297
    0.22	20.8594
   0.225	21.7187
    0.23	23.4375
   0.235	26.875
    0.24	33.75
   0.245	47.5
    0.25	75
