Perfil de Temperatura
  x y T
 34.9669  34.9669   36.311  39.4102  45.0152   53.913  66.4973  82.3344      100
 31.6524  31.6524  33.0603  36.3137  42.2012  51.5499  64.7745   81.422      100
 30.2246  30.2246  31.6595  34.9789  40.9879  50.5308  64.0314  81.0284      100
 30.2246  30.2246  31.6595  34.9789  40.9879  50.5308  64.0314  81.0284      100

     100      100      100      100      100      100      100      100      100
 82.4953  82.4953  82.9386  83.9103  85.5712  88.0713  91.4518  95.5574      100
  66.588   66.588  67.4295  69.2764  72.4349  77.1907  83.6262  91.4599      100
  53.587   53.587  54.7501  57.3078  61.6844  68.2774  77.2054  88.0899      100
 44.0082  44.0082  45.4051  48.4834  53.7547   61.699  72.4627  85.5983      100
 37.6598  37.6598  39.2092  42.6308  48.4938  57.3328  69.3135   83.943      100
 33.9595  33.9595  35.5965  39.2172  45.4244  54.7847   67.475  82.9763      100
 32.2952  32.2952  33.9712  37.6811  44.0429  53.6377  66.6472   82.541      100
 32.2952  32.2952  33.9712  37.6811  44.0429  53.6377  66.6472   82.541      100

     100      100      100      100      100      100      100      100      100
 83.8106  83.8106  84.2795  85.2779  86.9181  89.2918  92.3967  96.0769      100
 68.9118  68.9118  69.8073  71.7158  74.8522   79.393  85.3381  92.4034      100
  56.448   56.448  57.6968  60.3615  64.7432  71.0897  79.4062  89.3079      100
 46.9613  46.9613  48.4761  51.7135  57.0398  64.7582  74.8787  86.9427      100
 40.4246  40.4246  42.1206  45.7508  51.7266  60.3893  71.7531   85.309      100
 36.4605  36.4605  38.2653  42.1328  48.5018  57.7368  69.8549  84.3165      100
 34.6212  34.6212  36.4761  40.4534  47.0047  56.5052  68.9733  83.8555      100
 34.6212  34.6212  36.4761  40.4534  47.0047  56.5052  68.9733  83.8555      100

     100      100      100      100      100      100      100      100      100
 84.9737  84.9737  85.4554  86.4591  88.0593  90.3058  93.1688  96.4968      100
 71.0044  71.0044  71.9287  73.8558  76.9292  81.2459  86.7533  93.1745      100
 59.1009  59.1009  60.3987  63.1072  67.4289   73.502  81.2579  90.3199      100
 49.8072  49.8072  51.3939  54.7094  60.0023  67.4438  76.9542  88.0816      100
 43.2087  43.2087  44.9988  48.7435  54.7244  63.1364  73.8926  86.4884      100
 39.0857  39.0857   41.002   45.014  51.4241  60.4421   71.977  85.4913      100
 37.1285  37.1285  39.1043   43.243  49.8567  59.1623  71.0669  85.0174      100
 37.1285  37.1285  39.1043   43.243  49.8567  59.1623  71.0669  85.0174      100

     100      100      100      100      100      100      100      100      100
 86.0154  86.0154     86.5  87.4934  89.0414  91.1637   93.813   96.844      100
  72.906   72.906  73.8394  75.7536  78.7373  82.8302  87.9456   93.818      100
 61.5688  61.5688  62.8865  65.5912  69.8089  75.5979  82.8411  91.1763      100
 52.5369  52.5369  54.1583  57.4895  62.6866  69.8236  78.7609  89.0619      100
  45.973   45.973  47.8136  51.5983  57.5056   65.621  75.7895  87.5211      100
 41.7773  41.7773   43.757  47.8309  54.1914  62.9319  73.8876  86.5346      100
 39.7512  39.7512   41.798  46.0112  52.5904  61.6326  72.9685  86.0578      100
 39.7512  39.7512   41.798  46.0112  52.5904  61.6326  72.9685  86.0578      100

     100      100      100      100      100      100      100      100      100
 86.9576  86.9576  87.4378  88.4101  89.8985  91.9015  94.3603  97.1367      100
 74.6465  74.6465  75.5741   77.453  80.3303  84.2043  88.9668  94.3647      100
 63.8709  63.8709  65.1863  67.8524  71.9372  77.4405  84.2143  91.9127      100
 55.1468  55.1468  56.7738   60.074  65.1324  71.9514  80.3524  89.9173      100
 48.6894  48.6894  50.5456  54.3133  60.0907  67.8822  77.4877  88.4362      100
 44.4888  44.4888  46.4933  50.5644  56.8087  65.2324  75.6216   87.471      100
  42.434   42.434  44.5108  48.7301  55.2027  63.9356  74.7081  86.9985      100
  42.434   42.434  44.5108  48.7301  55.2027  63.9356  74.7081  86.9985      100

     100      100      100      100      100      100      100      100      100
 87.8165  87.8165   88.287  89.2307  90.6556  92.5447  94.8326  97.3876      100
 76.2488  76.2488  77.1599  78.9877  81.7486  85.4115  89.8542  94.8364      100
 66.0233  66.0233    67.32  69.9229  73.8562  79.0781  85.4206  92.5548      100
 57.6364  57.6364   59.247  62.4821  67.3729  73.8699  81.7695  90.6729      100
 51.3379  51.3379  53.1829   56.891   62.499  69.9523  79.0212  89.2553      100
 47.1843  47.1843  49.1832  53.2025  59.2828  67.3661  77.2062  88.3189      100
 45.1325  45.1325  47.2072    51.38  57.6934  66.0879   76.309  87.8559      100
